time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
2020/05/26/02:03:45.333773,40808,1590426225,333562929,robotiq_ft_frame_id,-10.6700000763,239.119995117,4.23000001907,5.22599983215,2.132999897,1.32700002193
2020/05/26/02:03:45.350163,40809,1590426225,349966685,robotiq_ft_frame_id,-10.6199998856,239.36000061,4.23000001907,5.23000001907,2.13100004196,1.32799994946
2020/05/26/02:03:45.366500,40810,1590426225,366365767,robotiq_ft_frame_id,-10.6800003052,239.339996338,4.21999979019,5.22900009155,2.13100004196,1.32700002193
2020/05/26/02:03:45.382882,40811,1590426225,382703820,robotiq_ft_frame_id,-10.6999998093,239.220001221,4.26999998093,5.22599983215,2.132999897,1.32899999619
2020/05/26/02:03:45.399243,40812,1590426225,399093032,robotiq_ft_frame_id,-10.6999998093,239.210006714,4.25,5.22599983215,2.132999897,1.32700002193
2020/05/26/02:03:45.415524,40813,1590426225,415392372,robotiq_ft_frame_id,-10.6700000763,239.279998779,4.21999979019,5.22700023651,2.132999897,1.32700002193
2020/05/26/02:03:45.431900,40814,1590426225,431692382,robotiq_ft_frame_id,-10.6199998856,239.240005493,4.25,5.22599983215,2.13199996948,1.32799994946
2020/05/26/02:03:45.448160,40815,1590426225,447982548,robotiq_ft_frame_id,-10.6199998856,239.210006714,4.15999984741,5.22700023651,2.132999897,1.32899999619
2020/05/26/02:03:45.464455,40816,1590426225,464268374,robotiq_ft_frame_id,-10.6800003052,239.259994507,4.13999986649,5.22900009155,2.13499999046,1.3259999752
2020/05/26/02:03:45.480735,40817,1590426225,480558887,robotiq_ft_frame_id,-10.720000267,239.300003052,4.17000007629,5.23099994659,2.13499999046,1.32700002193
2020/05/26/02:03:45.493049,40818,1590426225,492819815,robotiq_ft_frame_id,-10.720000267,239.240005493,4.17000007629,5.22800016403,2.13400006294,1.32500004768
2020/05/26/02:03:45.509330,40819,1590426225,509161116,robotiq_ft_frame_id,-10.720000267,239.330001831,4.13000011444,5.22900009155,2.13499999046,1.32500004768
2020/05/26/02:03:45.525633,40820,1590426225,525494281,robotiq_ft_frame_id,-10.7899999619,239.270004272,4.17999982834,5.22599983215,2.13499999046,1.32500004768
2020/05/26/02:03:45.542024,40821,1590426225,541827475,robotiq_ft_frame_id,-10.7299995422,239.220001221,4.17999982834,5.22499990463,2.13400006294,1.32700002193
2020/05/26/02:03:45.558396,40822,1590426225,558189401,robotiq_ft_frame_id,-10.7100000381,239.220001221,4.19000005722,5.22599983215,2.132999897,1.32700002193
2020/05/26/02:03:45.574792,40823,1590426225,574570448,robotiq_ft_frame_id,-10.7700004578,239.240005493,4.23999977112,5.23000001907,2.13499999046,1.32899999619
2020/05/26/02:03:45.591151,40824,1590426225,590944729,robotiq_ft_frame_id,-10.6899995804,239.300003052,4.23000001907,5.22800016403,2.132999897,1.32799994946
2020/05/26/02:03:45.607529,40825,1590426225,607309388,robotiq_ft_frame_id,-10.6899995804,239.279998779,4.19000005722,5.22700023651,2.13499999046,1.32799994946
2020/05/26/02:03:45.623865,40826,1590426225,623624528,robotiq_ft_frame_id,-10.720000267,239.25,4.25,5.22599983215,2.13400006294,1.32799994946
2020/05/26/02:03:45.640149,40827,1590426225,639959973,robotiq_ft_frame_id,-10.7399997711,239.279998779,4.26000022888,5.22800016403,2.132999897,1.32799994946
2020/05/26/02:03:45.656449,40828,1590426225,656246072,robotiq_ft_frame_id,-10.7899999619,239.279998779,4.15000009537,5.22800016403,2.13599991798,1.32700002193
2020/05/26/02:03:45.668645,40829,1590426225,668460940,robotiq_ft_frame_id,-10.6700000763,239.160003662,4.17999982834,5.22800016403,2.13199996948,1.32799994946
